Country/Region,"WHO Region",Date,NewCases
Afghanistan,"Eastern Mediterranean",2020-01-22,0
Afghanistan,"Eastern Mediterranean",2020-01-23,0
Afghanistan,"Eastern Mediterranean",2020-01-23,0
Afghanistan,"Eastern Mediterranean",2020-01-24,0
Afghanistan,"Eastern Mediterranean",2020-01-24,0
Afghanistan,"Eastern Mediterranean",2020-01-25,0
Afghanistan,"Eastern Mediterranean",2020-01-25,0
Afghanistan,"Eastern Mediterranean",2020-01-26,0
Afghanistan,"Eastern Mediterranean",2020-01-26,0
Afghanistan,"Eastern Mediterranean",2020-01-27,0
Afghanistan,"Eastern Mediterranean",2020-01-27,0
Afghanistan,"Eastern Mediterranean",2020-01-28,0
Afghanistan,"Eastern Mediterranean",2020-01-28,0
Afghanistan,"Eastern Mediterranean",2020-01-29,0
Afghanistan,"Eastern Mediterranean",2020-01-29,0
Afghanistan,"Eastern Mediterranean",2020-01-30,0
Afghanistan,"Eastern Mediterranean",2020-01-30,0
Afghanistan,"Eastern Mediterranean",2020-01-31,0
Afghanistan,"Eastern Mediterranean",2020-01-31,0
Afghanistan,"Eastern Mediterranean",2020-02-01,0
Afghanistan,"Eastern Mediterranean",2020-02-01,0
Afghanistan,"Eastern Mediterranean",2020-02-02,0
Afghanistan,"Eastern Mediterranean",2020-02-02,0
Afghanistan,"Eastern Mediterranean",2020-02-03,0
Afghanistan,"Eastern Mediterranean",2020-02-03,0
Afghanistan,"Eastern Mediterranean",2020-02-04,0
Afghanistan,"Eastern Mediterranean",2020-02-04,0
Afghanistan,"Eastern Mediterranean",2020-02-05,0
Afghanistan,"Eastern Mediterranean",2020-02-05,0
Afghanistan,"Eastern Mediterranean",2020-02-06,0
Afghanistan,"Eastern Mediterranean",2020-02-06,0
Afghanistan,"Eastern Mediterranean",2020-02-07,0
Afghanistan,"Eastern Mediterranean",2020-02-07,0
Afghanistan,"Eastern Mediterranean",2020-02-08,0
Afghanistan,"Eastern Mediterranean",2020-02-08,0
Afghanistan,"Eastern Mediterranean",2020-02-09,0
Afghanistan,"Eastern Mediterranean",2020-02-09,0
Afghanistan,"Eastern Mediterranean",2020-02-10,0
Afghanistan,"Eastern Mediterranean",2020-02-10,0
Afghanistan,"Eastern Mediterranean",2020-02-11,0
Afghanistan,"Eastern Mediterranean",2020-02-11,0
Afghanistan,"Eastern Mediterranean",2020-02-12,0
Afghanistan,"Eastern Mediterranean",2020-02-12,0
Afghanistan,"Eastern Mediterranean",2020-02-13,0
Afghanistan,"Eastern Mediterranean",2020-02-13,0
Afghanistan,"Eastern Mediterranean",2020-02-14,0
Afghanistan,"Eastern Mediterranean",2020-02-14,0
Afghanistan,"Eastern Mediterranean",2020-02-15,0
Afghanistan,"Eastern Mediterranean",2020-02-15,0
Afghanistan,"Eastern Mediterranean",2020-02-16,0
Afghanistan,"Eastern Mediterranean",2020-02-16,0
Afghanistan,"Eastern Mediterranean",2020-02-17,0
